Res,Round,Delta_t,Zeit Per Frame
0,0,1.0478599071502686,0.005821443928612603
0,1,1.0895161628723145,0.006052867571512858
0,2,1.1033217906951904,0.006129565503862169
0,3,1.0993118286132812,0.006107287936740451
0,4,1.0900769233703613,0.006055982907613119
0,5,1.094628095626831,0.006081267197926839
0,6,1.101243019104004,0.0061180167728000215
0,7,1.0772888660430908,0.005984938144683838
0,8,1.0886549949645996,0.006048083305358887
0,9,1.0882220268249512,0.006045677926805285
,,durchschnittliche Zeit per frame,0.006044513119591607
1,0,2.9562649726867676,0.016423694292704263
1,1,2.936340093612671,0.016313000520070394
1,2,2.9392690658569336,0.016329272588094076
1,3,2.9541289806365967,0.016411827670203313
1,4,2.951322078704834,0.01639623377058241
1,5,2.9732978343963623,0.016518321302202012
1,6,2.9595510959625244,0.016441950533125135
1,7,2.9451751708984375,0.0163620842827691
1,8,2.9601688385009766,0.016445382436116537
1,9,2.93464994430542,0.016303610801696778
,,durchschnittliche Zeit per frame,0.016394537819756402
2,0,10.440416097640991,0.05800231165356106
2,1,10.437643051147461,0.057986905839708114
2,2,10.422664880752563,0.057903693781958684
2,3,10.42679214477539,0.05792662302652995
2,4,10.398700952529907,0.05777056084738837
2,5,10.41000509262085,0.05783336162567139
2,6,10.385597944259644,0.05769776635699802
2,7,10.421436071395874,0.05789686706331041
2,8,10.420166015625,0.05788981119791667
2,9,10.414494037628174,0.05785830020904541
,,durchschnittliche Zeit per frame,0.05787662016020881
3,0,2.9471890926361084,0.01637327273686727
3,1,2.9554009437561035,0.01641889413197835
3,2,2.921586036682129,0.01623103353712294
3,3,2.9618358612060547,0.01645464367336697
3,4,2.941946029663086,0.016344144609239365
3,5,2.9791290760040283,0.016550717088911267
3,6,2.9401330947875977,0.016334072748819987
3,7,2.9451792240142822,0.016362106800079344
3,8,2.9478280544281006,0.01637682252460056
3,9,2.9419260025024414,0.016344033347235786
,,durchschnittliche Zeit per frame,0.016378974119822184
4,0,3.0054879188537598,0.01669715510474311
4,1,2.9287679195404053,0.016270932886335583
4,2,2.9479968547821045,0.016377760304345026
4,3,2.976583957672119,0.016536577542622884
4,4,3.24721097946167,0.018040060997009277
4,5,2.94543194770813,0.01636351082060072
4,6,2.954162836074829,0.016412015755971274
4,7,2.977160930633545,0.016539782947964137
4,8,2.9472341537475586,0.016373523076375327
4,9,2.950026035308838,0.016389033529493544
,,durchschnittliche Zeit per frame,0.01660003529654609
