Res,Round,Delta_t,Zeit Per Frame
0,0,0.7220959663391113,0.004011644257439507
0,1,0.7140450477600098,0.003966916932000054
0,2,0.698552131652832,0.003880845175849067
0,3,0.7863359451293945,0.0043685330284966364
0,4,0.7414999008178711,0.004119443893432617
0,5,0.7542409896850586,0.0041902277204725474
0,6,0.7056639194488525,0.003920355108049181
0,7,0.7250680923461914,0.004028156068589952
0,8,0.7298409938812256,0.004054672188229031
0,9,0.7111711502075195,0.00395095083448622
,,,,durchschnittliche Zeit per frame,0.004049174520704481
1,0,1.6502649784088135,0.009168138768937852
1,1,1.7347028255462646,0.009637237919701471
1,2,1.7198309898376465,0.009554616610209147
1,3,1.693485975265503,0.009408255418141684
1,4,1.713881015777588,0.009521561198764378
1,5,1.696185827255249,0.009423254595862494
1,6,1.6827731132507324,0.009348739518059625
1,7,1.7278249263763428,0.00959902736875746
1,8,1.707949161529541,0.009488606452941894
1,9,1.6892979145050049,0.009384988413916693
,,,,durchschnittliche Zeit per frame,0.00945344262652927
2,0,5.422525882720947,0.030125143792894153
2,1,5.456537961959839,0.030314099788665772
2,2,5.404313087463379,0.030023961597018773
2,3,5.384068965911865,0.029911494255065917
2,4,5.367172956466675,0.02981762753592597
2,5,5.393796920776367,0.029965538448757597
2,6,5.424466133117676,0.030135922961764865
2,7,5.557166814804077,0.030873148971133763
2,8,5.417159080505371,0.03009532822502984
2,9,5.3699328899383545,0.029832960499657526
,,,,durchschnittliche Zeit per frame,0.030109522607591418
3,0,1.6897010803222656,0.009387228224012587
3,1,1.69999098777771,0.009444394376542833
3,2,1.7081799507141113,0.009489888615078396
3,3,1.6795728206634521,0.009330960114796956
3,4,1.697493076324463,0.00943051709069146
3,5,1.6797540187835693,0.00933196677101983
3,6,1.6772968769073486,0.009318315982818603
3,7,1.6833000183105469,0.009351666768391926
3,8,1.6849348545074463,0.009360749191708035
3,9,1.7141368389129639,0.009522982438405355
,,,,durchschnittliche Zeit per frame,0.009396866957346598
4,0,1.7088449001312256,0.009493582778506808
4,1,1.6717889308929443,0.00928771628273858
4,2,1.672278881072998,0.009290438228183323
4,3,1.6899960041046143,0.00938886668947008
4,4,1.6833720207214355,0.009352066781785753
4,5,1.6971960067749023,0.009428866704305013
4,6,1.6739468574523926,0.009299704763624404
4,7,1.6883831024169922,0.009379906124538845
4,8,1.6864140033721924,0.009368966685401069
4,9,1.6669468879699707,0.009260816044277614
,,,,durchschnittliche Zeit per frame,0.009355093108283148
